Gene	Stage
AGPAT1	Prog
NUP93	Prog
NOP16	Prog
MCM4	Prog
DFFA	Prog
C16ORF33	Prog
FOXJ1	Prog
LSM4	Prog
DSP	Prog
ESRRG	Prog
RRAS2	Prog
TRIM17	Prog
CLDN19	Prog
IGSF3	Prog
C15ORF23	Prog
USP22	Prog
CCNE1	Prog
MCM3	Prog
DPH3	Prog
ADSL	Prog
LOC649553	Prog
RCOR2	Prog
EXOSC1	Prog
PITX2	Prog
MRPL39	Prog
TSPAN5	Prog
HS.383564	Prog
AP1S2	Prog
NEU1	Prog
EXOSC9	Prog
MPP1	Prog
GPC4	Prog
BANF1	Prog
DNMT3B	Prog
SMS	Prog
CHST3	Prog
DENND2C	Prog
PPP1CA	Prog
DDX21	Prog
NME1-NME2	Prog
HS.513000	Prog
WDR57	Prog
IDS	Prog
RPRM	Prog
MYOZ3	Prog
MUSTN1	Prog
UBE2G1	Prog
PSMD3	Prog
LOC100131735	Prog
SET	Prog
SOAT2	Prog
DEPDC6	Prog
ACOX2	Prog
BBS4	Prog
KIT	Prog
SMS	Prog
RPS21	Prog
MRPL21	Prog
C20ORF52	Prog
HAS2	Prog
CKAP5	Prog
MID1	Prog
LOC100129673	Prog
HNRNPAB	Prog
C4ORF18	Prog
TUBG1	Prog
LOC646942	Prog
MGC102966	Prog
C16ORF75	Prog
GNG2	Prog
DHX9	Prog
MRPS30	Prog
PTTG3P	Prog
RPS4X	Prog
WARS	Prog
C11ORF48	Prog
UTX	Prog
CXORF57	Prog
AGL	Prog
TBX3	Prog
LOC401537	Prog
F10	Prog
DPH3	Prog
THOC5	Prog
BOLA2	Prog
C12ORF64	Prog
MRPL22	Prog
PPAT	Prog
NLGN4X	Prog
CSNK2A1	Prog
NPM3	Prog
PCGF6	Prog
THOC4	Prog
TRIM24	Prog
PSMD4	Prog
TMEM93	Prog
MCM6	Prog
ZIC3	Prog
FABP5	Prog
CPSF4	Prog
TPK1	Prog
CTNNAL1	Prog
LOC644162	Prog
SNX5	Prog
ADD3	Prog
CARS	Prog
ZNF792	Prog
C17ORF81	Prog
MFGE8	Prog
PDCD2L	Prog
TSR2	Prog
PLCD1	Prog
DIO3	Prog
LOC732007	Prog
C1QBP	Prog
MCM2	Prog
LOC652826	Prog
USP11	Prog
PXDN	Prog
APEX1	Prog
TRIB3	Prog
IGFBP3	Prog
MRPL11	Prog
LGI2	Prog
LOC646817	Prog
IGFBP3	Prog
POLA1	Prog
SNRPB	Prog
PDGFRA	Prog
ITGA5	Prog
LOC100128266	Prog
EGFLAM	Prog
PSMD4	Prog
MYO9A	Prog
MRPS9	Prog
LOC727803	Prog
DHRS11	Prog
CACHD1	Prog
TEAD4	Prog
VPS25	Prog
SPOCK1	Prog
APOM	Prog
CD34	Prog
LOC100132934	Prog
STAG2	Prog
APEX1	Prog
MCM3	Prog
FGB	Prog
LOC388707	Prog
PSMC6	Prog
GCSH	Prog
RBM4	Prog
PRDX6	Prog
SSBP3	Prog
ACAT2	Prog
RPAIN	Prog
FKBP1A	Prog
GRIA3	Prog
SERPINE2	Prog
RBMX	Prog
TCEA1	Prog
ERP29	Prog
HNRNPM	Prog
RAD51AP1	Prog
LOC646294	Prog
COL4A1	Prog
RPESP	Prog
PRDX1	Prog
AGL	Prog
PRODH	Prog
TLK2	Prog
FLNB	Prog
LOC648249	Prog
RPAIN	Prog
GNA13	Prog
PSMC4	Prog
GARS	Prog
LARP1	Prog
OIP5	Prog
CTPS2	Prog
COL9A2	Prog
LOC731049	Prog
LOC730187	Prog
RANBP1	Prog
RUVBL1	Prog
TMSB15A	Prog
CREB3L2	Prog
MYCN	Prog
CD34	Prog
PSMB2	Prog
TLN2	Prog
WARS	Prog
TPM3	Prog
GYG2	Prog
IGDCC4	Prog
PFAS	Prog
PLS3	Prog
TET1	Prog
GATA3	Prog
TMEM38B	Prog
CKS1B	Prog
LOC387867	Prog
PPT2	Prog
LOC100134294	Prog
TRIM37	Prog
C17ORF53	Prog
PSPH	Prog
LOC730273	Prog
RPS15	Prog
TRIM24	Prog
TUBB	Prog
ROR2	Prog
UNC93A	Prog
MYL4	Prog
MYL7	Prog
PTTG1	Prog
NLGN4X	Prog
EEF1B2	Prog
RENBP	Prog
LCN15	Prog
SIP1	Prog
NME1	Prog
SALL2	Prog
LEPREL1	Prog
DDX47	Prog
TMEM88	Prog
PGAM1	Prog
CDC123	Prog
PSMB7	Prog
ILF3	Prog
EOMES	Prog
TOMM20	Prog
PPAP2B	Prog
IGFBP6	Prog
SC5DL	Prog
DRG1	Prog
ABCA1	Prog
DHRS2	Prog
SMAD7	Prog
GAL	Prog
GGH	Prog
GAD1	Prog
CCNE1	Prog
PSMD10	Prog
CASK	Prog
EFHD1	Prog
HS.40061	Prog
SLC7A7	Prog
AURKA	Prog
FAM65B	Prog
MBD2	Prog
PTTG1	Prog
DFFA	Prog
DIABLO	Prog
RBPMS2	Prog
PAK2	Prog
DHX33	Prog
DAG1	Prog
TUBA1C	Prog
HNRNPA1	Prog
PTPLA	Prog
IARS	Prog
ST6GAL1	Prog
ZMYM3	Prog
DLGAP5	Prog
GJA1	Prog
ENO2	Prog
NUP37	Prog
PFN1	Prog
AFP	Prog
UGT3A2	Prog
LOC646531	Prog
LOC646674	Prog
FRMD6	Prog
AURKA	Prog
C6ORF211	Prog
KEL	Prog
LOC402112	Prog
LOC643668	Prog
GINS2	Prog
ANXA2	Prog
CCNA2	Prog
WDR68	Prog
PTPN13	Prog
MCC	Prog
ACTG1	Prog
LOC647322	Prog
PPAP2B	Prog
LHFPL2	Prog
GNPDA1	Prog
SUMO2	Prog
S100A14	Prog
AMZ2	Prog
HMGA1	Prog
DKK1	Prog
RPA1	Prog
RPL29	Prog
PPT2	Prog
PYCR1	Prog
CDK6	Prog
ERAL1	Prog
CNTNAP2	Prog
C20ORF56	Prog
TBX3	Prog
CCT7	Prog
GCGR	Prog
GATA4	Prog
BMP7	Prog
LOC100131609	Prog
PSMD10	Prog
UPF3B	Prog
LOC651816	Prog
SLC3A2	Prog
PTCD1	Prog
LOC642477	Prog
LOC100132299	Prog
KPNA2	Prog
DLGAP5	Prog
COL18A1	Prog
TSKU	Prog
ZNF114	Prog
ANKRD1	Prog
UPF3B	Prog
SNRPF	Prog
ARHGAP28	Prog
ODC1	Prog
EIF5A	Prog
SMAD6	Prog
PSMD12	Prog
MGC40489	Prog
CKB	Prog
CPN1	Prog
BAMBI	Prog
LOC653479	Prog
PRSS1	Prog
LLGL1	Prog
RPS7	Prog
FGD1	Prog
LOC391045	Prog
LOC92755	Prog
TRIM6	Prog
DNMT3B	Prog
MELK	Prog
PIR	Prog
RPL29	Prog
RFC4	Prog
PIR	Prog
PSMD1	Prog
DPPA4	Prog
FST	Prog
LOC100130886	Prog
THOC3	Prog
SNRPF	Prog
NEK2	Prog
AURKB	Prog
LOC650215	Prog
H19	Prog
FLJ39632	Prog
LOC645436	Prog
RPLP0	Prog
RAN	Prog
TNNC1	Prog
KIF5C	Prog
PITX2	Prog
C21ORF129	Prog
SOCS2	Prog
ADD3	Prog
RPA1	Prog
PFKFB4	Prog
JARID2	Prog
CYP26A1	Prog
ARHGAP28	Prog
ARHGAP28	Prog
LOC652097	Prog
PLA2G12B	Prog
GRPR	Prog
RPL34	Prog
SSBP3	Prog
GLO1	Prog
PKP2	Prog
SLC2A14	Prog
SLC7A3	Prog
VAT1	Prog
ALPK2	Prog
ZIC2	Prog
MGC39900	Prog
MGC39900	Prog
UBE2C	Prog
GLIPR2	Prog
GLRX3	Prog
SHISA2	Prog
CCNB2	Prog
SMAGP	Prog
ROR1	Prog
CADM1	Prog
NGFRAP1	Prog
MELK	Prog
LOC645385	Prog
SAMD11	Prog
ACPP	Prog
APOA4	Prog
PABPC4L	Prog
GYG2	Prog
BMPER	Prog
COL4A6	Prog
THOC4	Prog
RAB3IL1	Prog
LOC100128266	Prog
CCDC81	Prog
LIN28B	Prog
RND2	Prog
RPS24	Prog
MTHFD2	Prog
PTPN13	Prog
SLCO2A1	Prog
TXNL2	Prog
LOC648024	Prog
VWA5A	Prog
COL4A5	Prog
KIAA0101	Prog
TEAD2	Prog
C20ORF56	Prog
OTX2	Prog
TMEM185A	Prog
FASN	Prog
SLC3A2	Prog
SMAGP	Prog
DHRS2	Prog
RPL6	Prog
MAGEH1	Prog
FRZB	Prog
CBX2	Prog
AADAT	Prog
PDGFRA	Prog
ARHGAP28	Prog
TMEM185A	Prog
RAB3IP	Prog
SFRP1	Prog
FZD7	Prog
AMOT	Prog
LOC728698	Prog
DDIT4L	Prog
LIFR	Prog
TEX10	Prog
COLEC12	Prog
ZCCHC12	Prog
RGAG1	Prog
CBS	Prog
FAM184A	Prog
HS.579631	Prog
UBE2C	Prog
ASNS	Prog
SP8	Prog
TNFRSF19	Prog
TOP2A	Prog
IGF2BP3	Prog
ISL1	Prog
ID3	Prog
CDC20	Prog
LOC643272	Prog
HPX	Prog
ESRRG	Prog
CYP4X1	Prog
PAPSS1	Prog
DLK1	Prog
TYRO3	Prog
SALL4	Prog
NLRP2	Prog
PHF16	Prog
HS3ST3A1	Prog
GATA5	Prog
TRIM71	Prog
LOC729779	Prog
PCDH7	Prog
S100A16	Prog
TRIML2	Prog
BEX1	Prog
LAMA1	Prog
ARID3B	Prog
LAMB1	Prog
PODXL	Prog
APOE	Prog
S100A13	Prog
HESX1	Prog
QPRT	Prog
SLC7A5	Prog
APOC1	Prog
TUBB2B	Prog
GPC3	Prog
CDKN1C	Prog
FZD4	Prog
BMP6	Prog
TRO	Prog
PITX1	Prog
KCNK12	Prog
PHGDH	Prog
CCKBR	Prog
RHOBTB3	Prog
HAND1	Prog
TRO	Prog
PITX2	Prog
DSCR6	Prog
CDH2	Prog
ITLN2	Prog
MYCN	Prog
AMHR2	Prog
SP8	Prog
S100A13	Prog
PSAT1	Prog
APOA1	Prog
MDK	Prog
RSPO3	Prog
UCHL1	Prog
CTSL2	Prog
PODXL	Prog
BEX1	Prog
LAMA1	Prog
LIN28	Prog
KIF1A	Prog
DLK1	Prog
CST1	Prog
APOA2	Prog
TM4SF4	Chol
ACTG2	Chol
AGR2	Chol
GC	Chol
CFB	Chol
CHST4	Chol
TSPAN8	Chol
CEACAM6	Chol
ACTA2	Chol
MUC1	Chol
TFF3	Chol
SPP1	Chol
UGT2B17	Chol
SERPINA1	Chol
UGT2B7	Chol
SPP1	Chol
UGT2B10	Chol
AGT	Chol
ANXA13	Chol
SPINK1	Chol
SERPINA5	Chol
SERPINA1	Chol
ANXA13	Chol
MUC1	Chol
DCN	Chol
GPR56	Chol
TM4SF1	Chol
FOS	Chol
AKR1B10	Chol
TCN1	Chol
ANXA4	Chol
PTGR1	Chol
UGT2B7	Chol
GCNT3	Chol
HSPA1A	Chol
SERPINA3	Chol
GPR56	Chol
LYZ	Chol
ONECUT2	Chol
TGFBI	Chol
UGT2B11	Chol
MSLN	Chol
PROM2	Chol
SLC12A2	Chol
LGALS2	Chol
UGT2B28	Chol
TSPO	Chol
CTGF	Chol
AKR7A3	Chol
CD44	Chol
LGALS3	Chol
UGT2B11	Chol
A2M	Chol
CLRN3	Chol
TMEM30B	Chol
PTRF	Chol
NFIB	Chol
SHRM	Chol
STOM	Chol
SDC1	Chol
C7	Chol
SHROOM3	Chol
METTL7A	Chol
AGR2	Chol
CA9	Chol
S100A8	Chol
CTGF	Chol
HYAL1	Chol
RNASE4	Chol
RPS4Y1	Chol
PLD1	Chol
KLF5	Chol
HSD17B2	Chol
ONECUT2	Chol
LOC100131718	Chol
BIRC3	Chol
MAOA	Chol
RHOB	Chol
HS.370359	Chol
CDH1	Chol
LOC100131989	Chol
ECHDC2	Chol
FHL2	Chol
KLF2	Chol
MTMR11	Chol
CDKN1A	Chol
B2M	Chol
LAD1	Chol
ARHGDIB	Chol
FAM46A	Chol
LOC649970	Chol
AKR1C2	Chol
AKR1C3	Chol
IGFBP7	Chol
ISG20	Chol
NLRP8	Chol
TGM2	Chol
ONECUT2	Chol
ATP10B	Chol
GBP2	Chol
SLC4A4	Chol
REC8	Chol
CENTA1	Chol
ELF3	Chol
NR2F2	Chol
CCND1	Chol
PIK3AP1	Chol
ADI1	Chol
PARM1	Chol
DTWD2	Chol
HLA-DMA	Chol
PPP1R3C	Chol
CLDN10	Chol
BHLHB2	Chol
PTMA	Chol
COMT	Chol
GSTTP2	Chol
TGFBR2	Chol
LEP	Chol
USP49	Chol
HTATIP2	Chol
SLC4A4	Chol
BCL6	Chol
HCP5	Chol
PTPLAD2	Chol
NUBPL	Chol
TUBA4A	Chol
TESC	Chol
LOC100132585	Chol
FLJ40722	Chol
TSPO	Chol
C8ORF4	Chol
RNF128	Chol
PRR15L	Chol
DUSP6	Chol
LOC645452	Chol
CLDN2	Chol
PTGR2	Chol
LOC730990	Chol
FAM73A	Chol
GSTA5	Chol
LOC648852	Chol
CCDC125	Chol
SLC40A1	Chol
LAMP2	Chol
FLJ22662	Chol
ZNF738	Chol
LOC644250	Chol
IL17RD	Chol
LOC100128098	Chol
TMEM106A	Chol
SLC40A1	Chol
GJB2	Chol
RARRES3	Chol
LOC401098	Chol
MAP1LC3A	Chol
LOC650128	Chol
SLC5A8	Chol
CSF1R	Chol
COL6A3	Chol
UGT2A3	Chol
LOC389765	Chol
SPRR3	Chol
SYTL2	Chol
GSTA1	Chol
GSTA1	Chol
LOC255167	Chol
ADAM15	Chol
TSC22D1	Chol
NPC1L1	Chol
TFF2	Chol
FAM40B	Chol
C1ORF116	Chol
BGN	Chol
LOC100129502	Chol
AKAP7	Chol
TM4SF5	Chol
EMP1	Chol
LOC648921	Chol
DUSP1	Chol
TMEM125	Chol
DACH1	Chol
B2M	Chol
CCBE1	Chol
CYCSL1	Chol
CD164	Chol
FILIP1L	Chol
MMP1	Chol
MPZL2	Chol
EGR1	Chol
CYP51A1	Chol
SH3YL1	Chol
LOC440704	Chol
PLXNB2	Chol
FLJ36131	Chol
GPR1	Chol
TMSL3	Chol
A1CF	Chol
FLJ35390	Chol
LOC90586	Chol
LRRC37B2	Chol
CKMT1A	Chol
DAZAP2	Chol
LRP10	Chol
LOC100133516	Chol
LOC100133662	Chol
MBNL2	Chol
RPLP1	Chol
HIST1H2BD	Chol
FHL2	Chol
LOC644914	Chol
S100A9	Chol
SIRPA	Chol
LTBR	Chol
ZNF223	Chol
LOC653489	Chol
CASP4	Chol
LOC100134868	Chol
TGFBR2	Chol
KIAA1751	Chol
SNHG8	Chol
LEAP2	Chol
ZNF682	Chol
SNAPC1	Chol
PERP	Chol
BLZF1	Chol
PLIN5	Chol
CA2	Chol
CSF2RA	Chol
S100A4	Chol
CDS1	Chol
LOC100127975	Chol
DYNLT3	Chol
EPS8	Chol
NEDD9	Chol
TAP1	Chol
ZNF486	Chol
LCOR	Chol
LOC653086	Chol
SGK	Chol
LOC100132727	Chol
RHBDL2	Chol
CRCP	Chol
LOC389787	Chol
ACSL5	Chol
PNPT1	Chol
RAXL1	Chol
TNFSF14	Chol
LOC100130053	Chol
LOC727908	Chol
HNMT	Chol
RASEF	Chol
ALPP	Chol
NDRG1	Chol
LOC100129211	Chol
SPTLC1	Chol
LOC100128062	Chol
SLC35E1	Chol
TRA1P2	Chol
ZNF69	Chol
LOC728026	Chol
DENR	Chol
LAMP2	Chol
FKBP14	Chol
MBNL1	Chol
SMARCA2	Chol
C5ORF28	Chol
CD68	Chol
UBE2L6	Chol
TACSTD2	Chol
C2ORF69	Chol
MFAP4	Chol
HS.25318	Chol
PCDHB9	Chol
IL10	Chol
SULT1A1	Chol
C9ORF130	Chol
PLA2G2D	Chol
LOC100134053	Chol
FAM175A	Chol
DMC1	Chol
MBD4	Chol
LOC729086	Chol
LOC728903	Chol
RNASET2	Chol
AXUD1	Chol
LOC727821	Chol
LOC100134504	Chol
ZFP36L1	Chol
SPNS2	Chol
LOC728811	Chol
HNRNPU	Chol
PIP5K2B	Chol
LOC400446	Chol
CFLAR	Chol
PPA2	Chol
LOC100134159	Chol
LOC727962	Chol
LOC653829	Chol
RHOU	Chol
AHR	Chol
PRSS23	Chol
LOC202781	Chol
CA2	Chol
MBNL2	Chol
SGK1	Chol
THY1	Chol
PMEPA1	Chol
ICA1	Chol
HSD17B11	Chol
ZFAND2A	Chol
GLS	Chol
HS.544637	Chol
ASS1	Chol
CMPK1	Chol
RGS1	Chol
TRNP1	Chol
HSD17B7	Chol
A1CF	Chol
ZNF483	Chol
ITPR3	Chol
CKMT1B	Chol
ZNF786	Chol
LDLR	Chol
JUN	Chol
LOC100130276	Chol
LOC644852	Chol
PLS1	Chol
PRO1853	Chol
VPS41	Chol
CAST	Chol
CEBPD	Chol
GLIS3	Chol
KRT80	Chol
LOC100131672	Chol
DUXAP3	Chol
PTP4A2	Chol
LOC100133019	Chol
C1ORF63	Chol
IER3	Chol
CD59	Chol
LOC641848	Chol
CLK1	Chol
EIF1AY	Chol
PTP4A2	Chol
LOC646527	Chol
PLDN	Chol
C6ORF170	Chol
HSPE1	Chol
LOC440926	Chol
LOC728105	Chol
XRCC2	Chol
LOC643287	Chol
NUCB2	Chol
C18ORF32	Chol
C8ORF45	Chol
TMEM50B	Chol
SSTR2	Chol
PPIB	Chol
SGK1	Chol
LOC100131787	Chol
WSB2	Chol
LOC653506	Chol
UQCRH	Chol
STARD10	Chol
SPN	Chol
FLNC	Chol
MAGT1	Chol
RUNDC2C	Chol
LOC100133772	Chol
DCLRE1C	Chol
FBLN1	Chol
LOC645157	Chol
DOPEY2	Chol
SLC4A5	Chol
DAPP1	Chol
RAB40B	Chol
FLJ44124	Chol
HIATL2	Chol
ASS1	Chol
HSD17B11	Chol
CEP27	Chol
LRIG1	Chol
CAPZA1	Chol
LOC388076	Chol
HRSP12	Chol
LOC100129094	Chol
LOC643882	Chol
LAMP2	Chol
F2RL1	Chol
COL6A3	Chol
C4ORF34	Chol
TMBIM4	Chol
FLJ25363	Chol
PDIA3P	Chol
FILIP1L	Chol
QSOX1	Chol
LOC730060	Chol
ZFP36	Chol
S100A4	Chol
SDHALP1	Chol
DEM1	Chol
LOC645452	Chol
WDR74	Chol
FAM107B	Chol
ALDH1B1	Chol
C11ORF63	Chol
DUSP23	Chol
FHL1	Chol
CHMP4C	Chol
TTRAP	Chol
CATSPER2	Chol
LOC730993	Chol
ARID5B	Chol
ZNF557	Chol
LOC100132391	Chol
SLC12A2	Chol
LOC646996	Chol
ANXA2P1	Chol
ANKRD30B	Chol
MCART1	Chol
LOC644937	Chol
SLC25A20	Chol
PLCL2	Chol
LOC100131541	Chol
HS.163752	Chol
ERBB3	Chol
C12ORF23	Chol
BLZF1	Chol
FAM153B	Chol
EIF2AK4	Chol
ANTXR1	Chol
AVPI1	Chol
CSF2RA	Chol
SMCR5	Chol
ZNF652	Chol
LOC728014	Chol
MBNL1	Chol
IQGAP2	Chol
RNF213	Chol
CAST	Chol
SYAP1	Chol
ST14	Chol
ALB	Chol
TJP3	Chol
PDGFRB	Chol
LOC729120	Chol
N4BP2	Chol
LOC731789	Chol
CMPK1	Chol
FAM63A	Chol
LOC440595	Chol
POLR2J4	Chol
TACC1	Chol
LOC100133298	Chol
SPAG1	Chol
KRT18P28	Chol
AIRE	Chol
LARGE	Chol
SUMO1	Chol
TRIM9	Chol
CACNA1H	Chol
THBS2	Chol
C9ORF80	Chol
LOC100129742	Chol
LOC100128510	Chol
ERGIC1	Chol
DBI	Chol
LYPD1	Chol
ALS2CR14	Chol
EFHD2	Chol
TMEM156	Chol
LUM	Chol
TPM2	Chol
OCIAD1	Chol
ZNF14	Chol
UPLP	Chol
CYR61	Chol
FAM162A	Chol
LOC100128525	Chol
LOC653702	Chol
RDH11	Chol
LOC100129269	Chol
TSPAN12	Chol
HLA-DRB6	Chol
THBS1	Chol
LOC442727	Chol
PPAP2C	Chol
TIMP2	Chol
KCNJ16	Chol
LOC100129028	Chol
REC8	Chol
LOC644642	Chol
TNFRSF12A	Chol
FLJ10916	Chol
GOLGB1	Chol
OCIAD2	Chol
ZNF544	Chol
PLCG2	Chol
MFSD6	Chol
CDC2L6	Chol
MLXIPL	Chol
LOC645231	Chol
TNRC9	Chol
MFSD6	Chol
PPM1K	Chol
GABRB3	Chol
LOC649841	Chol
LOC642828	Chol
CYFIP2	Chol
ZNF700	Chol
RNF103	Chol
LOC400750	Chol
LOC100130598	Chol
AFTPH	Chol
FILIP1L	Chol
SERINC2	Chol
WEE1	Chol
F11R	Chol
C14ORF105	Chol
NFKBIA	Chol
TMEM191A	Chol
HMGB1	Chol
FAM134B	Chol
ZNF669	Chol
FLJ46309	Chol
LOC347376	Chol
PDCD4	Chol
PRKCA	Chol
EFNA1	Chol
IRF9	Chol
LIPA	Chol
DDX51	Chol
HS.562875	Chol
RAD51	Chol
CRISPLD2	Chol
LOC729208	Chol
YRDC	Chol
ARL6IP1	Chol
TSPAN13	Chol
KRT18P17	Chol
MCM8	Chol
TMBIM1	Chol
GALNT3	Chol
HS.542993	Chol
ANKRD44	Chol
TRIM4	Chol
ZNF69	Chol
SORD	Chol
FCAR	Chol
HHEX	Chol
ENDOD1	Chol
HS.580797	Chol
LMO2	Chol
UAP1	Chol
BMS1P5	Chol
RICH2	Chol
ATP11B	Chol
ZNF22	Chol
BTG1	Chol
LOC643308	Chol
C15ORF63	Chol
LOC100131308	Chol
RRAS	Chol
ZNF577	Chol
TMEM17	Chol
MATN2	Chol
TP53INP1	Chol
LMOD3	Chol
CHURC1	Chol
BNIP3L	Chol
C21ORF24	Chol
PDX1	Chol
LOC642076	Chol
PSMB10	Chol
VASN	Chol
KLHL28	Chol
SELT	Chol
HLA-A29.1	Chol
GABARAPL2	Chol
LOC642909	Chol
RNY3	Chol
LOC654350	Chol
LOC100131572	Chol
GPBP1L1	Chol
EFCAB4A	Chol
LOC100130168	Chol
CCNL1	Chol
KCNMA1	Chol
LOC728953	Chol
MTUS1	Chol
COL3A1	Chol
HSPC268	Chol
TACSTD1	Chol
EID2B	Chol
FAM111A	Chol
CAV1	Chol
LOC286512	Chol
SEMA3E	Chol
COL1A2	Chol
CX3CL1	Chol
LOC728809	Chol
TEX2	Chol
ITGB4	Chol
CNTFR	Chol
RIPK4	Chol
MPP6	Chol
LOC100132547	Chol
LOC388344	Chol
GDF15	Chol
CTSB	Chol
LOC100130353	Chol
CD46	Chol
CLDN10	Chol
SHROOM4	Chol
LOC388621	Chol
DPP7	Chol
ALDH5A1	Chol
ARHGEF3	Chol
KIAA0672	Chol
RPN2	Chol
LTBP3	Chol
LDHA	Chol
QRFPR	Chol
DUSP10	Chol
LOC728843	Chol
C8ORF37	Chol
LOC100128460	Chol
LOC100130070	Chol
TNFSF15	Chol
GJB1	Chol
LOC100130445	Chol
RAD21	Chol
LOC387753	Chol
SERINC3	Chol
LOC100130764	Chol
POFUT1	Chol
EVI1	Chol
PPP1CB	Chol
LOC100128084	Chol
NBPF8	Chol
TRIM13	Chol
TDRD1	Chol
LOC345041	Chol
LOC728602	Chol
LOC100131096	Chol
LILRB1	Chol
DKFZP434K191	Chol
PLEKHA2	Chol
H2AFJ	Chol
FAM133B	Chol
SYT11	Chol
CES2	Chol
EDN1	Chol
IFP38	Chol
SAPS2	Chol
EFEMP1	Chol
SERTAD1	Chol
LRP11	Chol
LOC391169	Chol
ZNF860	Chol
FLJ31306	Chol
PLOD2	Chol
IL1RAP	Chol
TDRD1	Chol
EVI5	Chol
CCDC3	Chol
NDUFA5	Chol
PPP1R15B	Chol
ELOVL5	Chol
LDHA	Chol
LOC642989	Chol
FAM120A	Chol
PRKAA1	Chol
LOC389517	Chol
ZNF467	Chol
MFSD11	Chol
S100P	Chol
MMP23B	Chol
ANTXR2	Chol
MGST1	Chol
CDAN1	Chol
INPP1	Chol
NFKB1	Chol
